Internal ID	Q1: GOING OUT?	Q2: GENDER	Q3: AGE	Q4: COUNTRY	"Q5: STATE, PROVINCE, COUNTY, ETC"	Q6 | 100 Grand Bar	"Q6 | Anonymous brown globs that come in black and orange wrappers	(a.k.a. Mary Janes)"	Q6 | Any full-sized candy bar	Q6 | Black Jacks	Q6 | Bonkers (the candy)	Q6 | Bonkers (the board game)	Q6 | Bottle Caps	Q6 | Box'o'Raisins	Q6 | Broken glow stick	Q6 | Butterfinger	Q6 | Cadbury Creme Eggs	Q6 | Candy Corn	Q6 | Candy that is clearly just the stuff given out for free at restaurants	Q6 | Caramellos	"Q6 | Cash, or other forms of legal tender"	Q6 | Chardonnay	Q6 | Chick-o-Sticks (we don t know what that is)	Q6 | Chiclets	Q6 | Coffee Crisp	Q6 | Creepy Religious comics/Chick Tracts	Q6 | Dental paraphenalia	Q6 | Dots	Q6 | Dove Bars	Q6 | Fuzzy Peaches	Q6 | Generic Brand Acetaminophen	Q6 | Glow sticks	Q6 | Goo Goo Clusters	Q6 | Good N' Plenty	Q6 | Gum from baseball cards	Q6 | Gummy Bears straight up	Q6 | Hard Candy	Q6 | Healthy Fruit	Q6 | Heath Bar	Q6 | Hershey's Dark Chocolate	Q6 | Hershey s Milk Chocolate	Q6 | Hershey's Kisses	Q6 | Hugs (actual physical hugs)	Q6 | Jolly Rancher (bad flavor)	Q6 | Jolly Ranchers (good flavor)	Q6 | JoyJoy (Mit Iodine!)	Q6 | Junior Mints	Q6 | Senior Mints	Q6 | Kale smoothie	Q6 | Kinder Happy Hippo	Q6 | Kit Kat	Q6 | LaffyTaffy	Q6 | LemonHeads	Q6 | Licorice (not black)	Q6 | Licorice (yes black)	Q6 | Lindt Truffle	Q6 | Lollipops	Q6 | Mars	Q6 | Maynards	Q6 | Mike and Ike	Q6 | Milk Duds	Q6 | Milky Way	Q6 | Regular M&Ms	Q6 | Peanut M&M s	Q6 | Blue M&M's	Q6 | Red M&M's	Q6 | Green Party M&M's	Q6 | Independent M&M's	Q6 | Abstained from M&M'ing.	Q6 | Minibags of chips	Q6 | Mint Kisses	Q6 | Mint Juleps	Q6 | Mr. Goodbar	Q6 | Necco Wafers	Q6 | Nerds	Q6 | Nestle Crunch	Q6 | Now'n'Laters	Q6 | Peeps	Q6 | Pencils	Q6 | Pixy Stix	Q6 | Real Housewives of Orange County Season 9 Blue-Ray	Q6 | Reese s Peanut Butter Cups	Q6 | Reese's Pieces	Q6 | Reggie Jackson Bar	Q6 | Rolos	Q6 | Sandwich-sized bags filled with BooBerry Crunch	Q6 | Skittles	Q6 | Smarties (American)	Q6 | Smarties (Commonwealth)	Q6 | Snickers	Q6 | Sourpatch Kids (i.e. abominations of nature)	Q6 | Spotted Dick	Q6 | Starburst	Q6 | Sweet Tarts	Q6 | Swedish Fish	Q6 | Sweetums (a friend to diabetes)	Q6 | Take 5	Q6 | Tic Tacs	Q6 | Those odd marshmallow circus peanut things	Q6 | Three Musketeers	Q6 | Tolberone something or other	Q6 | Trail Mix	Q6 | Twix	"Q6 | Vials of pure high fructose corn syrup, for main-lining into your vein"	Q6 | Vicodin	Q6 | Whatchamacallit Bars	Q6 | White Bread	Q6 | Whole Wheat anything	Q6 | York Peppermint Patties	Q7: JOY OTHER	Q8: DESPAIR OTHER	Q9: OTHER COMMENTS	Q10: DRESS		Q11: DAY	Q12: MEDIA [Daily Dish]	Q12: MEDIA [Science]	Q12: MEDIA [ESPN]	Q12: MEDIA [Yahoo]	"Click Coordinates (x, y)"
90258773																																																																																																																							
90272821	No	Male	44	USA 	NM	MEH	DESPAIR	JOY	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	MEH	DESPAIR	MEH	JOY	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	DESPAIR	MEH	MEH	DESPAIR	MEH	JOY	JOY	MEH	DESPAIR	DESPAIR	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	DESPAIR	MEH	MEH	JOY	MEH	DESPAIR	DESPAIR	DESPAIR	MEH	MEH	JOY	JOY	MEH	JOY	JOY	JOY	JOY	DESPAIR	DESPAIR	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	JOY	DESPAIR	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	DESPAIR	DESPAIR	MEH	DESPAIR	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	JOY	DESPAIR	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	Mounds		Bottom line is Twix is really the only candy worth eating. 	White and gold		Sunday		1			"(84, 25)"
90272829		Male	49	USA	Virginia																																																																																																																		
90272840	No	Male	40	us	or	MEH	DESPAIR	JOY	MEH	MEH	DESPAIR	MEH	DESPAIR	DESPAIR	MEH	MEH	DESPAIR	DESPAIR	MEH	JOY	MEH	JOY	MEH	DESPAIR	DESPAIR	DESPAIR	JOY	JOY	MEH	MEH	JOY	JOY	MEH	DESPAIR	JOY	MEH	MEH	DESPAIR	MEH	MEH	MEH	MEH	MEH	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	MEH	JOY	JOY	MEH	JOY	JOY	DESPAIR	JOY	MEH	MEH	DESPAIR	JOY	MEH	JOY	MEH	MEH	MEH	MEH	MEH	DESPAIR	DESPAIR	MEH	MEH	DESPAIR	MEH	MEH	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	MEH	MEH	MEH	DESPAIR	DESPAIR	DESPAIR	MEH	JOY	MEH	DESPAIR	MEH	MEH	JOY	MEH	JOY	MEH	DESPAIR	DESPAIR	JOY	MEH	JOY	DESPAIR	JOY	JOY	DESPAIR	DESPAIR	DESPAIR	"Reese's crispy crunchy bars, 5th avenue bars, ferrero rocher, dries fruit other than raisins"		Raisins can go to hell	White and gold		Sunday		1			"(75, 23)"
90272841	No	Male	23	usa	exton pa	JOY	DESPAIR	JOY	DESPAIR	MEH	DESPAIR	MEH	DESPAIR	DESPAIR	MEH	MEH	DESPAIR	DESPAIR	JOY	MEH	JOY	DESPAIR	DESPAIR	MEH	DESPAIR	DESPAIR	MEH	JOY	DESPAIR	DESPAIR	DESPAIR	MEH	MEH	DESPAIR	JOY	MEH	DESPAIR	DESPAIR	JOY	MEH	MEH	DESPAIR	MEH	JOY	MEH	JOY	DESPAIR	DESPAIR	JOY	JOY	JOY	JOY	MEH	DESPAIR	JOY	MEH	MEH	DESPAIR	MEH	MEH	JOY	JOY	JOY	JOY	JOY	JOY	JOY	MEH	DESPAIR	JOY	JOY	MEH	DESPAIR	JOY	JOY	JOY	MEH	DESPAIR	JOY	DESPAIR	JOY	JOY	MEH	JOY		JOY	JOY	DESPAIR		MEH	DESPAIR	JOY	JOY	MEH	DESPAIR	MEH	DESPAIR	DESPAIR	JOY	JOY	DESPAIR	JOY	MEH	JOY	JOY	DESPAIR	DESPAIR	JOY				White and gold		Friday		1			"(70, 10)"
90272852	No	Male				JOY	DESPAIR	JOY				MEH	MEH	DESPAIR	JOY	DESPAIR	MEH	MEH	JOY	JOY	JOY	MEH	MEH	JOY	DESPAIR	MEH	MEH	JOY		DESPAIR	MEH	JOY	MEH	DESPAIR	MEH	MEH	MEH	JOY	JOY	MEH	MEH	MEH	MEH	MEH		JOY		DESPAIR		JOY	MEH	MEH	MEH	MEH	JOY	MEH	JOY		JOY	JOY	JOY	JOY	JOY	JOY	JOY				JOY	JOY	JOY	JOY	MEH	JOY	MEH	MEH	DESPAIR	DESPAIR	MEH	DESPAIR	JOY	JOY	DESPAIR	JOY	DESPAIR	JOY	JOY	JOY	JOY	DESPAIR	DESPAIR	MEH	MEH	MEH			MEH	DESPAIR	JOY	JOY	MEH	JOY	DESPAIR	DESPAIR	JOY	DESPAIR	DESPAIR	JOY								1			"(75, 23)"
90272853	No	Male	53	usa	Colorado 																																																																																																																		
90272854	No	Male	33	canada	ontario	JOY	DESPAIR	JOY	DESPAIR	DESPAIR	MEH	JOY	MEH	JOY	JOY	JOY	JOY	DESPAIR	JOY	JOY	JOY	DESPAIR	MEH	MEH	DESPAIR	DESPAIR	MEH	MEH	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	DESPAIR	DESPAIR	DESPAIR	JOY	MEH	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	MEH	JOY	MEH	DESPAIR	DESPAIR	MEH	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	MEH	DESPAIR	JOY	DESPAIR	DESPAIR	MEH	MEH	JOY	JOY	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	JOY		JOY	DESPAIR	JOY	MEH	JOY	MEH	JOY	DESPAIR	MEH	JOY	JOY	MEH	MEH	DESPAIR	DESPAIR	JOY	MEH	DESPAIR	JOY	JOY	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	using my elbows to get in front of the little kids in line.	"when the little kids get the big chocolate bars and the homeowner says that im too old to be trick-or-treating but then i try to logic with them but they still say no so i pout and stomp my feet to make it seem like im young at heart, but really im just gonna go to the corner store and buy a candy bar for myself later."	"first person to give out cans of beer, wins"	Blue and black		Friday		1			"(55, 5)"
90272858	No	Male	40	Canada	Ontario	JOY	DESPAIR	JOY	MEH	MEH	MEH	MEH	DESPAIR	DESPAIR	JOY	MEH	DESPAIR	DESPAIR	MEH	MEH	JOY	MEH	DESPAIR	JOY	DESPAIR	DESPAIR	DESPAIR	JOY	MEH	DESPAIR	MEH	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	JOY	JOY	DESPAIR	MEH	JOY	MEH	MEH	DESPAIR	DESPAIR	MEH	JOY	MEH	MEH	JOY	DESPAIR	MEH	MEH	JOY	DESPAIR	DESPAIR	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	DESPAIR	JOY	DESPAIR	JOY	MEH	DESPAIR	MEH	JOY	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	JOY	DESPAIR	JOY	DESPAIR	DESPAIR	MEH	JOY	JOY	JOY	DESPAIR	DESPAIR	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	JOY	DESPAIR	JOY	MEH	DESPAIR	MEH	DESPAIR	DESPAIR	DESPAIR				Blue and black		Sunday		1			"(76, 24)"
90272859	No	Female	53	Us	Wa	MEH	DESPAIR	JOY	MEH	MEH	MEH	MEH	MEH	MEH	MEH	DESPAIR	MEH	MEH	MEH	MEH	MEH	MEH	MEH	MEH	DESPAIR	DESPAIR	MEH	MEH	MEH	MEH	MEH	MEH	DESPAIR	DESPAIR	MEH	DESPAIR	MEH	MEH	JOY	MEH	MEH	DESPAIR	MEH	MEH	MEH	JOY	MEH	DESPAIR	JOY	JOY	DESPAIR	MEH	MEH	MEH	JOY	MEH	MEH	DESPAIR	MEH	MEH	MEH	JOY	MEH	MEH	MEH	MEH	MEH	MEH	JOY	MEH	MEH	MEH	MEH	MEH	MEH	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	JOY	MEH	MEH		MEH	MEH	MEH	MEH	MEH	MEH	MEH	MEH	MEH	MEH	MEH	MEH	MEH	MEH	JOY	MEH	JOY	DESPAIR	DESPAIR	MEH	DESPAIR	DESPAIR	MEH	Peanut butter m&ms 			White and gold		Sunday		1			"(70, 28)"
